Level,Teritorija,Starost,Spol,Ukupno,Ne školuje se ,Predškolsko obrazovanje  ,Osnovna škola  ,Srednja škola  ,Specijalizacija poslije srednje škole  ,Viša škola ,Stari program - Osnovne akademske studije,Stari program - Specijalističke studije,Stari program - Magistarske studije,Stari program - Doktorske studije,Program po Bolonji - Studij I ciklusa,Program po Bolonji - Studij II ciklusa,Program po Bolonji - Studij integrisanog I i II ciklusa,Program po Bolonji - Studij III ciklusa,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",4,"Ženski/ 
Female",17652,15241,2411,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",5,"Ukupno/ 
Total",36166,26639,6974,2553,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",5,"Muški/ 
Male",18628,13810,3627,1191,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",5,"Ženski/ 
Female",17538,12829,3347,1362,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",6,"Ukupno/ 
Total",34919,2828,1360,30731,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",6,"Muški/ 
Male",17919,1448,725,15746,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",6,"Ženski/ 
Female",17000,1380,635,14985,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",7,"Ukupno/ 
Total",34943,798,-,34145,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",7,"Muški/ 
Male",17840,420,-,17420,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",7,"Ženski/ 
Female",17103,378,-,16725,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",8,"Ukupno/ 
Total",35451,465,-,34986,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",8,"Muški/ 
Male",18233,256,-,17977,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",8,"Ženski/ 
Female",17218,209,-,17009,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",9,"Ukupno/ 
Total",35501,440,-,35061,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",9,"Muški/ 
Male",18261,257,-,18004,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",9,"Ženski/ 
Female",17240,183,-,17057,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",10,"Ukupno/ 
Total",36453,346,-,36107,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",10,"Muški/ 
Male",18852,199,-,18653,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",10,"Ženski/ 
Female",17601,147,-,17454,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",11,"Ukupno/ 
Total",36775,338,-,36437,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",11,"Muški/ 
Male",18927,175,-,18752,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",11,"Ženski/ 
Female",17848,163,-,17685,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",12,"Ukupno/ 
Total",38596,384,-,38212,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",12,"Muški/ 
Male",19792,206,-,19586,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",12,"Ženski/ 
Female",18804,178,-,18626,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",13,"Ukupno/ 
Total",39456,465,-,38991,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",13,"Muški/ 
Male",20142,221,-,19921,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",13,"Ženski/ 
Female",19314,244,-,19070,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",14,"Ukupno/ 
Total",41395,555,-,29914,10926,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",14,"Muški/ 
Male",20940,270,-,15450,5220,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",14,"Ženski/ 
Female",20455,285,-,14464,5706,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",15,"Ukupno/ 
Total",45564,1535,-,2820,41209,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",15,"Muški/ 
Male",23451,778,-,1614,21059,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",15,"Ženski/ 
Female",22113,757,-,1206,20150,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",16,"Ukupno/ 
Total",52015,2436,-,588,48991,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",16,"Muški/ 
Male",26860,1182,-,352,25326,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",16,"Ženski/ 
Female",25155,1254,-,236,23665,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",17,"Ukupno/ 
Total",51403,6388,-,265,44246,149,128,41,-,-,-,176,-,10,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",17,"Muški/ 
Male",26386,3680,-,140,22309,75,70,17,-,-,-,89,-,6,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",17,"Ženski/ 
Female",25017,2708,-,125,21937,74,58,24,-,-,-,87,-,4,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",18,"Ukupno/ 
Total",50311,16549,-,139,24099,421,888,970,-,-,-,7073,-,172,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",18,"Muški/ 
Male",25720,9819,-,74,11790,224,399,415,-,-,-,2927,-,72,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",18,"Ženski/ 
Female",24591,6730,-,65,12309,197,489,555,-,-,-,4146,-,100,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",19,"Ukupno/ 
Total",43449,21838,-,51,2078,616,1582,2115,-,-,-,14776,-,393,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",19,"Muški/ 
Male",22483,12716,-,27,1210,330,707,932,-,-,-,6402,-,159,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",19,"Ženski/ 
Female",20966,9122,-,24,868,286,875,1183,-,-,-,8374,-,234,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",20,"Ukupno/ 
Total",38825,20395,-,33,634,468,1465,1851,95,133,-,12850,514,387,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",20,"Muški/ 
Male",20046,11951,-,14,363,223,650,821,48,49,-,5557,225,145,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",20,"Ženski/ 
Female",18779,8444,-,19,271,245,815,1030,47,84,-,7293,289,242,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",21,"Ukupno/ 
Total",44354,23843,-,39,474,452,1508,2162,96,285,-,13843,1114,538,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",21,"Muški/ 
Male",22471,13684,-,18,261,208,646,945,44,112,-,5934,417,202,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",21,"Ženski/ 
Female",21883,10159,-,21,213,244,862,1217,52,173,-,7909,697,336,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",22,"Ukupno/ 
Total",48403,28062,-,48,307,385,1355,2163,136,444,51,12426,2132,549,345,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",22,"Muški/ 
Male",24919,15959,-,33,171,201,638,910,63,165,26,5622,782,211,138,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",22,"Ženski/ 
Female",23484,12103,-,15,136,184,717,1253,73,279,25,6804,1350,338,207,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",23,"Ukupno/ 
Total",48196,30990,-,35,218,299,1025,1778,130,689,69,9309,2772,534,348,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",23,"Muški/ 
Male",24879,17026,-,19,125,156,517,860,65,264,25,4369,1080,211,162,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",23,"Ženski/ 
Female",23317,13964,-,16,93,143,508,918,65,425,44,4940,1692,323,186,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",24,"Ukupno/ 
Total",48278,34588,-,36,180,246,808,1527,125,745,89,6602,2642,381,309,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",24,"Muški/ 
Male",24568,18291,-,19,98,130,403,724,61,286,36,3198,1015,171,136,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",24,"Ženski/ 
Female",23710,16297,-,17,82,116,405,803,64,459,53,3404,1627,210,173,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",25-29,"Ukupno/ 
Total",252318,213146,-,114,727,884,2355,7428,769,3355,679,14106,6891,721,1143,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",25-29,"Muški/ 
Male",129248,110277,-,57,412,545,1186,3434,323,1452,310,7359,3041,321,531,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",25-29,"Ženski/ 
Female",123070,102869,-,57,315,339,1169,3994,446,1903,369,6747,3850,400,612,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",30-34,"Ukupno/ 
Total",252633,233004,-,125,532,492,1332,4154,969,2968,843,4999,2342,239,634,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",30-34,"Muški/ 
Male",128593,119028,-,53,276,291,651,2036,405,1380,391,2584,1118,111,269,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",30-34,"Ženski/ 
Female",124040,113976,-,72,256,201,681,2118,564,1588,452,2415,1224,128,365,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",35-39,"Ukupno/ 
Total",249266,237941,-,181,524,409,768,1769,634,1895,763,2621,1289,100,372,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",35-39,"Muški/ 
Male",126145,120519,-,79,251,246,388,855,231,990,401,1317,631,48,189,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",35-39,"Ženski/ 
Female",123121,117422,-,102,273,163,380,914,403,905,362,1304,658,52,183,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",40-44,"Ukupno/ 
Total",241138,235202,-,151,367,247,436,742,205,1038,503,1266,718,76,187,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",40-44,"Muški/ 
Male",121595,118517,-,60,178,141,245,367,99,578,273,640,352,39,106,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",40-44,"Ženski/ 
Female",119543,116685,-,91,189,106,191,375,106,460,230,626,366,37,81,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",45-49,"Ukupno/ 
Total",260928,257373,-,144,315,177,273,421,149,659,350,596,307,51,113,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",45-49,"Muški/ 
Male",130087,128182,-,54,166,114,148,216,64,373,204,304,169,28,65,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",45-49,"Ženski/ 
Female",130841,129191,-,90,149,63,125,205,85,286,146,292,138,23,48,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA","50 i više/ 
50 and over","Ukupno/ 
Total",1260359,1255757,-,410,617,240,508,415,210,749,552,497,257,36,111,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA","50 i više/ 
50 and over","Muški/ 
Male",575843,573141,-,173,341,172,320,232,107,482,384,252,145,19,75,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA","50 i više/ 
50 and over","Ženski/ 
Female",684516,682616,-,237,276,68,188,183,103,267,168,245,112,17,36,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Ukupno/ 
Total",2219220,1752748,11545,209829,118261,3297,9851,15500,2129,9271,2738,62880,15358,3504,2309,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Muški/ 
Male",1087993,855018,5890,107794,60262,1954,4772,7336,924,4352,1434,29321,6428,1432,1076,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Ženski/ 
Female",1131227,897730,5655,102035,57999,1343,5079,8164,1205,4919,1304,33559,8930,2072,1233,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",0 - 2,"Ukupno/ 
Total",67099,67099,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",0 - 2,"Muški/ 
Male",34474,34474,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",0 - 2,"Ženski/ 
Female",32625,32625,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",3,"Ukupno/ 
Total",23664,21122,2542,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",3,"Muški/ 
Male",12190,10929,1261,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",3,"Ženski/ 
Female",11474,10193,1281,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",4,"Ukupno/ 
Total",24080,20973,3107,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",4,"Muški/ 
Male",12353,10812,1541,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",4,"Ženski/ 
Female",11727,10161,1566,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",5,"Ukupno/ 
Total",23892,17210,5019,1663,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",5,"Muški/ 
Male",12274,8889,2597,788,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",5,"Ženski/ 
Female",11618,8321,2422,875,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",6,"Ukupno/ 
Total",22901,2087,877,19937,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",6,"Muški/ 
Male",11829,1045,491,10293,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",6,"Ženski/ 
Female",11072,1042,386,9644,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",7,"Ukupno/ 
Total",22965,577,-,22388,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",7,"Muški/ 
Male",11750,303,-,11447,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",7,"Ženski/ 
Female",11215,274,-,10941,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",8,"Ukupno/ 
Total",23147,338,-,22809,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",8,"Muški/ 
Male",11870,183,-,11687,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",8,"Ženski/ 
Female",11277,155,-,11122,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",9,"Ukupno/ 
Total",23147,315,-,22832,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",9,"Muški/ 
Male",11910,191,-,11719,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",9,"Ženski/ 
Female",11237,124,-,11113,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",10,"Ukupno/ 
Total",23884,242,-,23642,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",10,"Muški/ 
Male",12366,140,-,12226,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",10,"Ženski/ 
Female",11518,102,-,11416,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",11,"Ukupno/ 
Total",24043,248,-,23795,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",11,"Muški/ 
Male",12362,127,-,12235,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",11,"Ženski/ 
Female",11681,121,-,11560,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",12,"Ukupno/ 
Total",24989,273,-,24716,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",12,"Muški/ 
Male",12787,145,-,12642,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",12,"Ženski/ 
Female",12202,128,-,12074,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",13,"Ukupno/ 
Total",25785,320,-,25465,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",13,"Muški/ 
Male",13148,150,-,12998,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",13,"Ženski/ 
Female",12637,170,-,12467,-,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",14,"Ukupno/ 
Total",27352,387,-,19174,7791,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",14,"Muški/ 
Male",13830,187,-,9932,3711,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",14,"Ženski/ 
Female",13522,200,-,9242,4080,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",15,"Ukupno/ 
Total",30464,1074,-,2001,27389,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",15,"Muški/ 
Male",15585,516,-,1139,13930,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",15,"Ženski/ 
Female",14879,558,-,862,13459,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",16,"Ukupno/ 
Total",35091,1730,-,374,32987,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",16,"Muški/ 
Male",18159,803,-,222,17134,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",16,"Ženski/ 
Female",16932,927,-,152,15853,-,-,-,-,-,-,-,-,-,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",17,"Ukupno/ 
Total",35286,4643,-,165,30146,96,83,23,-,-,-,122,-,8,-,,,
1,"FEDERACIJA BOSNE I HERCEGOVINE 
FEDERATION OF BOSNIA AND HERZEGOVINA",17,"Muški/ 
Male",18218,2618,-,83,15346,50,47,8,-,-,-,61,-,5,-,,,
